"Circo","Inscrits","Votants","Blancs","Nuls","ARTHAUD","ASSELINEAU","CHEMINADE","DUPONT-AIGNAN","FILLON","HAMON","LASSALLE","LE PEN","MACRON","MÉLENCHON","POUTOU"
"01-01",82653,66652,1358,404,401,622,119,4106,13460,3712,732,16500,14403,10221,614
"01-02",93334,76590,1397,437,382,788,129,4507,15714,3625,598,19319,17395,11711,588
"01-03",75427,58738,964,328,272,812,106,2979,13888,3238,614,10700,14550,9695,592
"01-04",89279,73261,1469,589,414,570,136,4818,15749,3321,699,19428,15692,9739,637
"01-05",75216,59138,1154,481,373,820,105,3378,10993,2815,822,15508,11652,10370,667
"02-01",72292,57736,943,444,608,421,97,2859,8761,2583,466,20175,10470,9282,627
"02-02",73948,57729,1024,425,481,343,92,2773,9824,2398,399,18356,10920,10080,614
"02-03",68126,53788,1004,503,543,354,99,2625,8651,2108,443,20901,7977,7987,593
"02-04",79155,60526,980,477,532,503,109,2891,8990,2508,431,20974,10746,10755,630
"02-05",82231,65790,1096,474,600,550,139,3504,10759,2634,526,22381,11580,10855,692
"03-01",89724,71554,1478,1102,594,473,134,3525,12923,3949,904,15318,16276,14043,835
"03-02",85064,65430,1420,780,547,492,114,3061,10933,3609,1003,13736,14785,14149,801
"03-03",79158,62605,1342,674,402,518,107,3233,12643,3081,1081,14017,14683,10132,692
"04-01",61220,49935,905,386,279,457,106,2387,8346,2438,899,12815,9565,10737,615
"04-02",65358,52320,901,350,242,475,99,2473,10096,2545,822,11648,10395,11711,563
"05-01",57744,46753,791,348,234,465,66,2550,8255,2710,767,10302,10204,9528,533
"05-02",52163,42333,750,270,177,318,99,2388,8390,2399,842,8172,8744,9268,516
"06-01",80459,61014,790,382,188,636,74,1952,16070,2701,491,14144,12581,10658,347
"06-02",85688,68643,1184,345,251,693,155,3238,15531,2549,795,19995,12398,10998,511
"06-03",89098,68427,945,379,218,731,97,2588,16533,2772,572,18031,13254,11895,412
"06-04",85748,67327,1011,386,237,711,104,2939,16561,1997,730,21772,10584,9820,475
"06-05",87923,69477,948,450,184,688,82,2908,16904,2353,699,20800,12489,10591,381
"06-06",78084,62975,1125,159,138,616,100,2988,17858,1862,479,18287,11529,7510,324
"06-07",92847,75090,1166,270,183,775,131,3282,22855,2913,617,16532,16064,9857,445
"06-08",82014,63505,880,298,161,614,106,2400,20641,1774,403,16682,11025,8183,338
"06-09",79900,63398,979,239,169,603,90,2880,18082,2146,476,16897,12019,8429,389
"07-01",77905,62825,1238,513,405,705,112,2876,9196,3803,1134,15434,12951,13663,795
"07-02",93042,76526,1520,639,521,680,132,4575,14162,4346,1171,17029,17190,13646,915
"07-03",78313,63290,1143,515,391,600,132,2543,10824,3695,1276,13125,12562,15571,913
"08-01",73335,57772,903,391,495,447,108,3235,10532,2647,520,18228,10616,9044,606
"08-02",63879,47830,847,296,421,344,95,2191,6586,2599,400,15078,8439,9969,565
"08-03",57165,44701,802,261,462,289,64,2384,8155,1988,486,14272,7857,7159,522
"09-01",56738,46202,807,435,278,380,63,1517,5254,3797,1569,9129,9776,12576,621
"09-02",60671,49815,921,466,279,419,77,1854,6647,3542,1736,11135,9753,12424,562
"10-01",64362,52677,896,346,396,399,105,3569,12238,1814,386,17094,8811,6153,470
"10-02",73837,59973,982,379,394,436,94,3687,13802,2391,406,17321,11739,7867,475
"10-03",65648,52246,867,358,317,482,90,2979,11082,2340,367,14431,10015,8476,442
"11-01",95122,77432,1365,677,441,516,117,2851,10702,4965,1509,21872,15334,16170,913
"11-02",88881,69630,1177,586,370,590,108,2617,10779,3793,1149,20242,13087,14396,736
"11-03",88721,73094,1306,692,384,677,123,2797,10799,4856,1984,18470,14591,15557,858
"12-01",76599,64334,1183,578,344,432,120,3182,15100,3721,2137,9304,16796,10735,702
"12-02",69955,57616,1160,657,381,464,89,2574,10010,3658,1930,8827,14834,12306,726
"12-03",71888,59948,1202,656,381,408,104,2798,11554,3499,2394,10457,13953,11648,894
"13-01",78383,60910,891,343,186,516,81,2344,12708,2377,486,17682,11297,11609,390
"13-02",78743,63057,706,196,144,499,87,1860,20146,2990,488,10973,14701,9930,337
"13-03",73470,53986,734,312,172,607,79,1725,8450,2208,390,16415,9655,12898,341
"13-04",59654,41604,548,205,194,510,79,672,4428,3544,270,5867,8908,15969,410
"13-05",69043,53192,684,282,195,465,85,1561,10556,3637,455,10235,11530,13093,414
"13-06",75634,57664,790,291,190,443,78,2027,13027,2525,415,14597,11664,11256,361
"13-07",65369,42492,604,236,248,539,93,837,3201,2136,230,10864,7068,16092,344
"13-08",99987,80128,1349,511,340,779,139,3942,15434,3188,868,23403,14961,14574,640
"13-09",96939,77484,1266,446,275,662,127,3136,16757,2852,772,21236,13565,15822,568
"13-10",106026,87276,1432,466,304,654,134,3768,16495,3349,876,26436,16373,16397,592
"13-11",90215,71286,1051,321,206,546,111,2718,17033,3087,626,16081,15900,13139,467
"13-12",92147,72761,1403,307,280,598,109,3141,11787,2404,682,26497,11439,13587,527
"13-13",93715,73874,1280,582,451,712,115,2873,8443,2709,742,23130,10618,21520,699
"13-14",97727,78769,1166,411,227,696,137,2874,18920,4194,698,14655,19111,15129,551
"13-15",104767,86178,1438,599,375,641,160,4140,18810,3205,1136,25597,15092,14304,681
"13-16",90577,71587,1212,487,327,551,126,2829,11272,3159,906,22729,11430,15875,684
"14-01",70096,58020,840,311,346,362,82,2178,11483,5342,317,7161,16648,12282,668
"14-02",67569,54351,821,409,436,373,91,2138,7604,4765,341,9189,14119,13307,758
"14-03",78941,63646,1060,471,600,479,102,3494,12254,3432,519,16535,12706,11097,897
"14-04",101077,82259,1095,520,547,573,136,3897,20937,4203,607,16753,18909,13157,925
"14-05",89928,74453,1148,522,467,464,123,3840,16024,4695,546,15021,18731,12024,848
